기준년월,광역지자체,중분류,지출액,전년도 지출액
202107,세종특별자치시,골프장,1080076.0,824780.0
202107,세종특별자치시,기타레저,90478.0,49386.0
202107,세종특별자치시,문화서비스,107521.0,80802.0
202107,세종특별자치시,식음료,5288825.0,5424994.0
202108,세종특별자치시,총소비,7743376.0,7751540.0
202108,세종특별자치시,캠핑장/펜션,143.0,300.0
202108,세종특별자치시,기타숙박,182812.0,102506.0
202108,세종특별자치시,육상운송,464.0,3677.0
202108,세종특별자치시,렌터카,608.0,76.0
202108,세종특별자치시,관광기념품,3502.0,4268.0
202108,세종특별자치시,레저용품쇼핑,432960.0,301299.0
202108,세종특별자치시,대형쇼핑몰,958604.0,1221162.0
202108,세종특별자치시,관광유원시설,4151.0,4241.0
202108,세종특별자치시,골프장,998535.0,828484.0
202108,세종특별자치시,기타레저,93359.0,62481.0
202108,세종특별자치시,문화서비스,101400.0,115394.0
202108,세종특별자치시,식음료,4966838.0,5107651.0
202109,세종특별자치시,총소비,7863005.0,7388427.0
202109,세종특별자치시,캠핑장/펜션,280.0,0.0
202109,세종특별자치시,기타숙박,151856.0,100914.0
202109,세종특별자치시,육상운송,435.0,3506.0
202109,세종특별자치시,렌터카,981.0,594.0
202109,세종특별자치시,관광기념품,3210.0,2879.0
202109,세종특별자치시,레저용품쇼핑,746872.0,380365.0
202109,세종특별자치시,대형쇼핑몰,864475.0,1135035.0
202109,세종특별자치시,관광유원시설,4395.0,1978.0
202109,세종특별자치시,골프장,1086235.0,927617.0
202109,세종특별자치시,기타레저,72430.0,30341.0
202109,세종특별자치시,문화서비스,85004.0,56157.0
202109,세종특별자치시,식음료,4846830.0,4749043.0
202110,세종특별자치시,총소비,8468678.0,8014098.0
202110,세종특별자치시,캠핑장/펜션,852.0,400.0
202110,세종특별자치시,기타숙박,210232.0,107998.0
202110,세종특별자치시,육상운송,579.0,2965.0
202110,세종특별자치시,렌터카,1251.0,1478.0
202110,세종특별자치시,관광기념품,2348.0,1177.0
202110,세종특별자치시,레저용품쇼핑,661932.0,458370.0
202110,세종특별자치시,대형쇼핑몰,873983.0,1120608.0
202110,세종특별자치시,관광유원시설,4716.0,5184.0
202110,세종특별자치시,골프장,1040727.0,907341.0
202110,세종특별자치시,기타레저,78883.0,38204.0
202110,세종특별자치시,문화서비스,89068.0,72258.0
202110,세종특별자치시,식음료,5504105.0,5298115.0
202111,세종특별자치시,총소비,7758460.0,7510547.0
202111,세종특별자치시,캠핑장/펜션,314.0,0.0
202111,세종특별자치시,기타숙박,193737.0,105258.0
202111,세종특별자치시,육상운송,666.0,3004.0
202111,세종특별자치시,렌터카,309.0,228.0
202111,세종특별자치시,관광기념품,4602.0,2202.0
202111,세종특별자치시,레저용품쇼핑,442605.0,382993.0
202111,세종특별자치시,대형쇼핑몰,800741.0,1071570.0
202111,세종특별자치시,관광유원시설,4134.0,3214.0
202111,세종특별자치시,골프장,877021.0,857433.0
202111,세종특별자치시,기타레저,64797.0,63922.0
202111,세종특별자치시,문화서비스,77944.0,64263.0
202111,세종특별자치시,식음료,5291588.0,4956459.0
202112,세종특별자치시,총소비,7322578.0,5991258.0
202112,세종특별자치시,캠핑장/펜션,42.0,0.0
202112,세종특별자치시,기타숙박,188921.0,88679.0
202112,세종특별자치시,여행업,26.0,1000.0
202112,세종특별자치시,육상운송,637.0,3205.0
202112,세종특별자치시,렌터카,12.0,318.0
202112,세종특별자치시,관광기념품,1573.0,1574.0
202112,세종특별자치시,레저용품쇼핑,425448.0,294647.0
202112,세종특별자치시,대형쇼핑몰,935047.0,1122647.0
202112,세종특별자치시,관광유원시설,7491.0,1460.0
202112,세종특별자치시,골프장,582842.0,535578.0
202112,세종특별자치시,기타레저,66822.0,20727.0
202112,세종특별자치시,문화서비스,71947.0,39146.0
202112,세종특별자치시,식음료,5041771.0,3882277.0
