기준년월,광역지자체,중분류,지출액,전년도 지출액
202101,울산광역시,대형쇼핑몰,9120108.0,1.1098477E7
202101,울산광역시,관광유원시설,18532.0,20223.0
202101,울산광역시,골프장,1452308.0,1149721.0
202101,울산광역시,기타레저,322921.0,595423.0
202101,울산광역시,문화서비스,95858.0,452744.0
202101,울산광역시,식음료,1.6283082E7,2.8746006E7
202102,울산광역시,총소비,3.292067E7,3.6580183E7
202102,울산광역시,호텔,285851.0,332979.0
202102,울산광역시,캠핑장/펜션,1772.0,3470.0
202102,울산광역시,기타숙박,852255.0,946304.0
202102,울산광역시,여행업,2834.0,873.0
202102,울산광역시,육상운송,1632.0,348.0
202102,울산광역시,수상운송,915.0,225.0
202102,울산광역시,항공운송,6229.0,3834.0
202102,울산광역시,렌터카,27151.0,20416.0
202102,울산광역시,면세점,0.0,7188.0
202102,울산광역시,관광기념품,30332.0,32778.0
202102,울산광역시,레저용품쇼핑,2183933.0,1918618.0
202102,울산광역시,대형쇼핑몰,8870773.0,7960851.0
202102,울산광역시,관광유원시설,20311.0,10729.0
202102,울산광역시,골프장,1675203.0,1338286.0
202102,울산광역시,기타레저,336263.0,448560.0
202102,울산광역시,문화서비스,132528.0,250516.0
202102,울산광역시,식음료,1.8492688E7,2.3304208E7
202103,울산광역시,총소비,3.9352543E7,3.0866002E7
202103,울산광역시,호텔,298949.0,211544.0
202103,울산광역시,콘도,786.0,0.0
202103,울산광역시,캠핑장/펜션,2647.0,11773.0
202103,울산광역시,기타숙박,961869.0,770255.0
202103,울산광역시,여행업,5718.0,6464.0
202103,울산광역시,육상운송,1450.0,5267.0
202103,울산광역시,수상운송,685.0,75.0
202103,울산광역시,항공운송,7901.0,770.0
202103,울산광역시,렌터카,36918.0,15168.0
202103,울산광역시,면세점,0.0,416.0
202103,울산광역시,관광기념품,36054.0,19419.0
202103,울산광역시,레저용품쇼핑,2966985.0,1997023.0
202103,울산광역시,대형쇼핑몰,9083476.0,6923030.0
202103,울산광역시,관광유원시설,27979.0,10304.0
202103,울산광역시,골프장,2152405.0,1567993.0
202103,울산광역시,기타레저,378511.0,371222.0
202103,울산광역시,문화서비스,161923.0,66684.0
202103,울산광역시,식음료,2.3228287E7,1.8888594E7
202104,울산광역시,총소비,3.696102E7,3.7643252E7
202104,울산광역시,콘도,0.0,588.0
202104,울산광역시,호텔,345387.0,242945.0
202104,울산광역시,캠핑장/펜션,2552.0,7806.0
202104,울산광역시,기타숙박,933570.0,832686.0
202104,울산광역시,여행업,11898.0,9340.0
202104,울산광역시,육상운송,1046.0,1947.0
202104,울산광역시,수상운송,425.0,250.0
202104,울산광역시,항공운송,10390.0,1362.0
202104,울산광역시,렌터카,30609.0,13644.0
202104,울산광역시,면세점,374.0,0.0
202104,울산광역시,관광기념품,40178.0,25248.0
202104,울산광역시,레저용품쇼핑,2994603.0,2878370.0
202104,울산광역시,대형쇼핑몰,8465835.0,8147185.0
202104,울산광역시,관광유원시설,23562.0,19185.0
202104,울산광역시,골프장,2272065.0,1914035.0
202104,울산광역시,기타레저,348848.0,394098.0
202104,울산광역시,문화서비스,150013.0,59106.0
202104,울산광역시,식음료,2.1329664E7,2.3095456E7
202105,울산광역시,총소비,3.7911816E7,4.9141749E7
202105,울산광역시,호텔,325721.0,334587.0
202105,울산광역시,콘도,416.0,270.0
202105,울산광역시,캠핑장/펜션,3442.0,9423.0
202105,울산광역시,기타숙박,873608.0,999985.0
202105,울산광역시,여행업,2391.0,15141.0
202105,울산광역시,육상운송,1519.0,5423.0
202105,울산광역시,수상운송,1279.0,770.0
202105,울산광역시,항공운송,8947.0,5199.0
202105,울산광역시,렌터카,34148.0,37221.0
202105,울산광역시,면세점,60.0,0.0
202105,울산광역시,관광기념품,45723.0,54098.0
202105,울산광역시,레저용품쇼핑,3232792.0,4582667.0
202105,울산광역시,대형쇼핑몰,9468953.0,1.1154061E7
202105,울산광역시,관광유원시설,36058.0,22575.0
202105,울산광역시,골프장,2423339.0,2193583.0
202105,울산광역시,기타레저,376328.0,495284.0
202105,울산광역시,문화서비스,165874.0,102059.0
202105,울산광역시,식음료,2.0911219E7,2.9129403E7
202106,울산광역시,총소비,3.8262052E7,4.3111804E7
202106,울산광역시,콘도,0.0,0.0
202106,울산광역시,호텔,303418.0,333893.0
202106,울산광역시,캠핑장/펜션,3563.0,4343.0
202106,울산광역시,기타숙박,887431.0,1011125.0
202106,울산광역시,여행업,1366.0,11309.0
202106,울산광역시,육상운송,1309.0,8260.0
202106,울산광역시,수상운송,1000.0,210.0
202106,울산광역시,항공운송,9173.0,5242.0
202106,울산광역시,렌터카,31350.0,15417.0
202106,울산광역시,면세점,0.0,0.0
202106,울산광역시,관광기념품,38774.0,64596.0
202106,울산광역시,레저용품쇼핑,2800420.0,3075140.0
202106,울산광역시,대형쇼핑몰,8480797.0,9296027.0
202106,울산광역시,관광유원시설,24187.0,21862.0
202106,울산광역시,골프장,2416625.0,2080979.0
202106,울산광역시,기타레저,357053.0,439258.0
202106,울산광역시,문화서비스,198330.0,162371.0
202106,울산광역시,식음료,2.2707256E7,2.6581771E7
202107,울산광역시,총소비,4.1184927E7,4.4129068E7
202107,울산광역시,호텔,412525.0,360189.0
202107,울산광역시,콘도,2045.0,1880.0
202107,울산광역시,캠핑장/펜션,8449.0,5323.0
202107,울산광역시,기타숙박,1058455.0,1079497.0
202107,울산광역시,여행업,2061.0,9647.0
202107,울산광역시,육상운송,6716.0,10545.0
202107,울산광역시,수상운송,640.0,85.0
202107,울산광역시,항공운송,7366.0,6054.0
202107,울산광역시,렌터카,29740.0,30324.0
202107,울산광역시,관광기념품,37854.0,108538.0
202107,울산광역시,레저용품쇼핑,2707547.0,2546950.0
202107,울산광역시,대형쇼핑몰,8965057.0,9020595.0
202107,울산광역시,관광유원시설,28054.0,21122.0
202107,울산광역시,골프장,2508816.0,2041977.0
202107,울산광역시,기타레저,394736.0,479299.0
202107,울산광역시,문화서비스,247429.0,238606.0
202107,울산광역시,식음료,2.4767438E7,2.8168438E7
