기준년월,광역지자체,대분류,지출액,전년도 지출액
201808,전국,총소비,3.51422872E9,0.0
201808,전국,콘도,3.1872146E7,0.0
201808,전국,호텔,4.948618E7,0.0
201808,전국,캠핑장/펜션,695575.0,0.0
201808,전국,기타숙박,8.5038274E7,0.0
201808,전국,여행업,1.721853E7,0.0
201808,전국,육상운송,8.3180763E7,0.0
201808,전국,수상운송,7381136.0,0.0
201808,전국,항공운송,5.662114E7,0.0
201808,전국,렌터카,6401878.0,0.0
201808,전국,면세점,6.2222052E7,0.0
201808,전국,관광기념품,5814313.0,0.0
201808,전국,레저용품쇼핑,1.49546718E8,0.0
201808,전국,대형쇼핑몰,7.89281154E8,0.0
201808,전국,관광유원시설,1.1990068E7,0.0
201808,전국,골프장,1.07043464E8,0.0
201808,전국,스키장,1168907.0,0.0
201808,전국,기타레저,6.2937065E7,0.0
201808,전국,문화서비스,6.9185909E7,0.0
201808,전국,식음료,1.917143449E9,0.0
201809,전국,총소비,3.511570394E9,0.0
201809,전국,콘도,1.479434E7,0.0
201809,전국,호텔,3.9287004E7,0.0
201809,전국,캠핑장/펜션,326799.0,0.0
201809,전국,기타숙박,6.9666233E7,0.0
201809,전국,여행업,1.8270299E7,0.0
201809,전국,육상운송,7.8391081E7,0.0
201809,전국,수상운송,6496881.0,0.0
201809,전국,항공운송,5.2685403E7,0.0
201809,전국,렌터카,4587545.0,0.0
201809,전국,면세점,5.6394549E7,0.0
201809,전국,관광기념품,5642905.0,0.0
201809,전국,레저용품쇼핑,2.07604768E8,0.0
201809,전국,대형쇼핑몰,9.21449706E8,0.0
201809,전국,관광유원시설,8866692.0,0.0
201809,전국,골프장,1.37300151E8,0.0
201809,전국,스키장,652141.0,0.0
201809,전국,기타레저,5.3281413E7,0.0
201809,전국,문화서비스,4.3582742E7,0.0
201809,전국,식음료,1.79228974E9,0.0
201810,전국,총소비,3.531826409E9,0.0
201810,전국,콘도,1.3997445E7,0.0
201810,전국,호텔,3.9829839E7,0.0
201810,전국,캠핑장/펜션,338328.0,0.0
201810,전국,기타숙박,7.1487575E7,0.0
201810,전국,여행업,1.6640044E7,0.0
201810,전국,육상운송,8.1792162E7,0.0
201810,전국,수상운송,6884539.0,0.0
201810,전국,항공운송,6.2270944E7,0.0
201810,전국,렌터카,4550757.0,0.0
201810,전국,면세점,5.8413794E7,0.0
201810,전국,관광기념품,5933563.0,0.0
201810,전국,레저용품쇼핑,2.59817903E8,0.0
201810,전국,대형쇼핑몰,8.5624235E8,0.0
201810,전국,관광유원시설,8802361.0,0.0
201810,전국,골프장,1.4440957E8,0.0
201810,전국,스키장,636428.0,0.0
201810,전국,기타레저,5.241263E7,0.0
201810,전국,문화서비스,4.009307E7,0.0
201810,전국,식음료,1.807273108E9,0.0
201811,전국,총소비,3.371971796E9,0.0
201811,전국,호텔,3.8234018E7,0.0
201811,전국,콘도,1.1670997E7,0.0
201811,전국,캠핑장/펜션,276790.0,0.0
201811,전국,기타숙박,6.8200534E7,0.0
201811,전국,여행업,1.474792E7,0.0
201811,전국,육상운송,7.9988827E7,0.0
201811,전국,수상운송,5423359.0,0.0
201811,전국,항공운송,5.1707315E7,0.0
201811,전국,렌터카,4207822.0,0.0
201811,전국,면세점,5.9627175E7,0.0
201811,전국,관광기념품,5713825.0,0.0
201811,전국,레저용품쇼핑,2.46407553E8,0.0
